,Rank,Movie,year,genre,Runtime,Certificate,Rating
163,164.,The Great Escape,1963,"Adventure, Drama, History",172 min,U,8.2
164,165.,Yôjinbô,1961,"Action, Drama, Thriller",110 min,U,8.2
165,166.,Some Like It Hot,1959,"Comedy, Music, Romance",121 min,U,8.2
166,167.,The Bridge on the River Kwai,1957,"Adventure, Drama, War",161 min,U,8.2
167,168.,Dial M for Murder,1954,"Crime, Thriller",105 min,A,8.2
168,169.,Tôkyô monogatari,1953,Drama,136 min,U,8.2
169,170.,Le salaire de la peur,1953,"Adventure, Drama, Thriller",131 min,U,8.2
170,171.,Rashômon,1950,"Crime, Drama, Mystery",88 min,U,8.2
171,172.,All About Eve,1950,Drama,138 min,,8.2
172,173.,The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",126 min,,8.2
173,174.,To Be or Not to Be,1942,"Comedy, Romance, War",99 min,,8.2
174,175.,Gone with the Wind,1939,"Drama, Romance, War",238 min,U,8.2
175,176.,La passion de Jeanne d'Arc,1928,"Biography, Drama, History",110 min,,8.2
176,177.,The General,1926,"Action, Adventure, Comedy",67 min,,8.2
177,178.,The Gold Rush,1925,"Adventure, Comedy, Drama",95 min,,8.2
178,179.,Sherlock Jr.,1924,"Action, Comedy, Romance",45 min,,8.2
179,180.,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,A,8.1
180,181.,Klaus,2019,"Animation, Adventure, Comedy",96 min,7,8.1
181,182.,Ah-ga-ssi,2016,"Drama, Romance, Thriller",145 min,A,8.1
182,183.,Logan,2017,"Action, Drama, Sci-Fi",137 min,A,8.1
183,184.,Room,I 2015,"Drama, Thriller",118 min,U,8.1
184,185.,Relatos salvajes,2014,"Comedy, Drama, Thriller",122 min,18,8.1
185,186.,The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",99 min,UA,8.1
186,187.,Gone Girl,2014,"Drama, Mystery, Thriller",149 min,A,8.1
